Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Order_delay,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,Sales_Per_Employee,Required_Employees,Employee_Gap,Total_Cost,profit,Inventory_Gap,Optimized_Stock,Need_Emp_Shifting,Cost_Per_Sale,Revenue
WH039,New York,2347,2434,7,3,10,17,93079,S445,Electronics,3019.367188,1.19,4.7,2.3,46837,5506,9020,88,24,21,138.3809524,27,6,14526,29261.95261,87,2434,1,30.8273205,43787.95261
WH340,Miami,2753,4022,6,4,10,14,54693,S604,Apparel,7954.40625,1.17,6.4,4.1,16172,3931,5384,72,29,22,299.7272727,70,48,9315,106042.6701,1269,4022,12,6.875811755,115357.6701
WH127(2),Miami,1167,2550,3,2,5,17,38811,S384,Automotive,6545.875,4.34,6.7,3.8,35268,3996,6269,189,35,50,59.83333333,58,8,10265,84665.64159,1383,2550,16,5.929077472,94930.64159
WH127(1),Miami,1167,2550,4,2,6,6,77838,S347,Electronics,7567.179688,4.29,4.3,1.4,30756,13127,1215,125,44,50,94.65,67,17,14342,95399.97074,1383,2550,25,10.28626294,109741.9707
WH286,Los Angeles,2208,1339,8,1,9,15,95778,S560,Automotive,5219,3.62,5.9,4.2,26580,13840,12534,160,31,34,153.5,46,12,26374,49313.82148,-869,2208,0,18.35179153,75687.82148
WH023(1),San Francisco,1318,2198,5,4,9,23,73077,S603,Groceries,6308.875,3.62,9.5,2,36191,7937,14852,54,4,39,115.2435897,56,17,22789,68704.58206,880,2198,16,11.5832062,91493.58206
WH093,Miami,1650,717,4,5,9,25,85842,S411,Automotive,1304,1.19,4.3,4.7,45743,13382,7065,184,27,57,22.87719298,12,-45,20447,-1535.9214,-933,1650,0,65.8297546,18911.0786
WH105(2),Miami,1468,2517,1,3,4,7,77444,S317,Electronics,5100.101563,1.76,7,1.7,31326,2080,6426,18,23,11,74.61538462,45,34,8506,65457.51343,1049,2517,3,15.18479565,73963.51343
WH049,San Francisco,2807,4166,3,6,9,16,56895,S141,Apparel,7496.40625,1.79,1.4,1.4,46738,10655,6239,68,8,67,91.58208955,66,-1,16894,91821.58881,1359,4166,12,7.589636701,108715.5888
WH353,San Francisco,3119,4223,2,7,9,7,34027,S763,Electronics,6594.671875,1.95,8.5,2.5,46381,6415,861,71,38,8,682.625,58,50,7276,88362.31148,1104,4223,10,5.159771501,95638.31148
WH105(1),Miami,1468,2517,2,3,5,9,82925,S372,Furniture,6914.976563,3.12,2.3,4.7,23562,19875,1132,55,36,11,432.7727273,61,50,21007,79276.48565,1049,2517,19,11.99208692,100283.4857
WH189,San Francisco,783,1310,6,3,9,5,97457,S733,Electronics,2596.835938,2.34,1,2.2,33885,1985,6261,257,23,71,28.5915493,23,-48,8246,29414.25194,527,1310,5,37.52913251,37660.25194
WH334,Los Angeles,4069,1971,5,4,9,11,41108,S456,Groceries,2308,4.04,2.2,1.1,37238,12903,7918,121,24,14,164.8571429,20,6,20821,12650.44893,-2098,4069,0,17.81109185,33471.44893
WH378,Denver,3385,3251,5,4,9,5,46917,S586,Automotive,6447,1.38,9.5,2.7,14836,12091,8644,175,0,28,230.25,57,29,20735,72761.72065,-134,3385,0,7.277338297,93496.72065
WH236,Atlanta,4793,4845,4,5,9,6,76581,S511,Apparel,7585.367188,2.49,1.7,3.7,40975,8669,5610,79,35,92,81.2173913,67,-25,14279,95726.73243,52,4845,1,10.09588568,110005.7324
WH331,San Francisco,2710,2793,7,2,9,22,40686,S857,Electronics,5269.367188,4.15,5.7,3.2,33721,5159,9866,227,30,86,59.95348837,46,-40,15025,61393.26461,83,2793,1,7.721230757,76418.26461
WH165,Dallas,4585,1133,7,2,9,16,59096,S255,Apparel,7346,3.06,8.1,2.7,10927,7768,3878,15,24,59,124.5084746,65,6,11646,94888.34309,-3452,4585,0,8.04465015,106534.3431
WH444(1),New York,1107,879,5,4,9,25,34912,S677,Apparel,4716,3.13,2.1,2.1,15788,10598,3113,233,48,26,181.3846154,42,16,13711,54682.13395,-228,1107,0,7.4028838,68393.13395
WH390,Dallas,3530,1066,8,1,9,19,68576,S927,Furniture,2204,1.2,9.4,4.3,15844,11824,13391,277,7,28,78.71428571,19,-9,25215,6748.2034,-2464,3530,0,31.11433757,31963.2034
WH396,Los Angeles,4689,620,7,2,9,9,96508,S142,Electronics,2833,4.11,8.8,2.7,10597,19812,13221,144,8,79,35.86075949,25,-54,33033,8052.1884,-4069,4689,0,34.06565478,41085.1884
WH473(1),Atlanta,2483,2235,5,4,9,5,33179,S181,Electronics,4223,4.38,8.3,4.3,25568,18319,7078,227,32,39,109.6883117,37,-2,25397,35846.47004,-248,2483,0,7.856736917,61243.47004
WH478(2),San Francisco,616,2587,3,3,6,23,85798,S350,Apparel,5899.671875,3.4,4.6,2.4,25878,3896,11847,63,43,27,13.17021277,52,25,15743,69816.17066,1971,2587,10,14.54284269,85559.17066
WH124,New York,2550,2544,5,4,9,18,43064,S593,Furniture,7192,1.49,6.2,1.4,23986,7744,13724,38,32,85,84.61176471,63,-22,21468,82832.97952,-6,2550,0,5.987764182,104300.9795
WH279,Los Angeles,2279,1715,3,6,9,19,51798,S474,Apparel,5390,2.98,7.3,2.9,17432,5887,1238,29,39,69,78.11594203,48,-21,7125,71042.72519,-564,2279,0,9.610018553,78167.72519
WH478(1),San Francisco,617,2588,3,3,6,16,49703,S466,Electronics,8734.851563,4.7,3.3,4.8,27791,18878,3668,232,34,28,173.3272727,77,49,22546,104129.9697,1971,2588,35,5.690194006,126675.9697
WH182,Chicago,2206,1667,8,1,9,6,47230,S258,Apparel,6579,0.66,8.7,2.4,25968,12102,12800,51,28,60,109.65,58,-2,24902,70509.03229,-539,2206,0,7.178902569,95411.03229
WH436,Miami,2199,1668,7,2,9,15,87711,S698,Furniture,2852,4.7,2.7,4.9,15009,14154,5337,172,12,99,28.80808081,25,-74,19491,21869.73326,-531,2199,0,30.75420757,41360.73326
WH105,New York,4872,2903,3,6,9,6,52838,S152,Furniture,7135,2.55,3.8,3.7,36005,4009,13393,2,20,40,178.375,63,23,17402,86072.34495,-1969,4872,0,7.405466013,103474.3449
WH087,Houston,1254,5127,2,4,6,5,96514,S240,Apparel,9040.851563,4.69,6.3,3.2,12956,16289,544,218,34,86,58.98837209,80,-6,16833,114280.6921,3873,5127,35,10.67532182,131113.6921
WH072,San Francisco,848,4086,2,1,3,10,87409,S654,Furniture,8441.648438,3.09,8.5,4.8,45161,1335,5088,161,7,66,78.09090909,74,8,6423,116000.8321,3238,4086,29,10.35449423,122423.8321
WH350,Miami,2652,1374,2,7,9,21,44162,S230,Furniture,5892,3.5,8.1,3.4,20238,15998,5669,198,9,82,71.85365854,52,-30,21667,63780.91036,-1278,2652,0,7.495247794,85447.91036
WH418,Chicago,3322,2770,3,6,9,22,90331,S476,Apparel,6836,3.02,4.5,1.8,24388,16588,9369,105,28,6,1139.333333,60,54,25957,73181.13904,-552,3322,0,13.21401404,99138.13904
WH296,Seattle,1762,3916,2,4,6,13,36091,S746,Automotive,7596.34375,2.99,6.4,3.5,37245,19475,12567,16,31,91,58.56043956,67,-24,32042,78122.9185,2154,3916,20,4.751101476,110164.9185
WH162,Chicago,2247,4189,4,3,7,12,53533,S831,Apparel,7388.609375,3.45,3.8,4.9,40767,6053,11638,63,27,80,66.85,65,-15,17691,89461.27963,1942,4189,18,7.245341753,107152.2796
WH488,Dallas,4067,2729,7,2,9,12,46080,S622,Automotive,4596,1.41,7.9,1.8,10940,6967,11725,260,8,90,51.06666667,41,-49,18692,47960.85065,-1338,4067,0,10.02610966,66652.85065
WH266,Miami,4874,4415,8,1,9,11,87222,S851,Groceries,6771,3.99,9.5,2.8,37502,1217,8138,6,15,39,173.6153846,60,21,9355,88840.48558,-459,4874,0,12.88170137,98195.48558
WH475,Atlanta,4328,1522,6,3,9,19,50887,S401,Furniture,4595,1.23,1.4,4.4,20088,17571,7604,97,31,93,49.40860215,41,-52,25175,41463.34829,-2806,4328,0,11.07442873,66638.34829
WH499,Seattle,2809,1747,7,2,9,14,70859,S254,Apparel,1314,4.81,8.8,2.1,14956,17141,13579,247,24,87,15.10344828,12,-75,30720,-11663.89779,-1062,2809,0,53.9261796,19056.10221
WH286,Denver,4127,2375,3,6,9,5,58513,S923,Apparel,1780,4.03,4.1,1.9,15638,14093,4045,255,44,75,23.73333333,16,-59,18138,7676.202383,-1752,4127,0,32.87247191,25814.20238
WH428,Seattle,1799,484,5,3,8,25,57671,S469,Apparel,4671,2.13,7.9,1.5,34452,18186,14587,253,36,94,49.69148936,41,-53,32773,34967.52771,-1315,1799,0,12.34660672,67740.52771
WH195,New York,833,3175,4,3,7,6,95174,S346,Apparel,7749.710938,1.61,6.9,2.8,46936,11659,13600,20,29,35,153.4,68,33,25259,87130.1048,2342,3175,21,12.28097419,112389.1048
WH253,Miami,2962,552,5,3,8,17,99018,S491,Furniture,1392,2.97,9.4,4.1,10606,3671,13568,255,4,7,198.8571429,12,5,17239,2948.286358,-2410,2962,0,71.13362069,20187.28636
WH131(2),Denver,1278,443,4,3,7,10,70630,S761,Apparel,9159.585938,3.42,4.6,1.8,22089,5249,3224,270,23,7,287.5,81,74,8473,124362.6209,-835,1278,37,7.711047255,132835.6209
WH434(1),New York,1768,2281,4,4,8,19,66003,S677,Electronics,6009.671875,4.76,7,2.9,27446,4070,2268,6,33,14,361.1851852,53,39,6338,80816.43036,513,2281,10,10.98279596,87154.43036
WH162,Seattle,1443,1157,4,4,8,18,76947,S109,Automotive,3327,0.99,6.9,1.3,23449,18784,11728,259,20,38,87.55263158,29,-9,30512,17737.35468,-286,1443,0,23.12804328,48249.35468
WH473(2),Atlanta,2483,2234,5,3,8,6,53951,S211,Groceries,5243.304688,2.98,0.9,1.6,49896,7065,557,2,26,38,107.7209302,46,8,7622,68418.29683,-249,2483,9,10.28950313,76040.29683
WH023(2),San Francisco,1317,2197,5,3,8,18,95645,S558,Groceries,6307.875,4.77,6.6,2,44370,8185,5267,248,18,39,48.68181818,56,17,13452,78027.07969,880,2197,16,15.16279254,91479.07969
WH035(2),Chicago,1964,1594,5,3,8,18,42837,S955,Groceries,8443.75,2.17,5.8,2.9,15353,16110,7856,70,42,6,111.2258065,74,68,23966,98488.30976,-370,1964,32,5.073219837,122454.3098
WH221,Dallas,4693,2590,6,2,8,9,68367,S923,Apparel,2077,3.69,1.1,3.2,16068,12663,13144,106,12,19,109.3157895,18,-1,25807,4314.403567,-2103,4693,0,32.91622532,30121.40357
WH455,Chicago,1129,2613,5,2,7,19,46628,S596,Groceries,6972.140625,2.91,6,4.3,27025,2517,11960,192,40,41,131.3414634,62,21,14477,86635.49952,1484,2613,14,6.687759543,101112.4995
WH009,Atlanta,3113,639,3,5,8,21,73388,S520,Groceries,5139,0.68,2.3,1.2,42738,1938,10983,29,0,19,270.4736842,45,26,12921,61606.63261,-2474,3113,0,14.28059934,74527.63261
WH312(1),Dallas,2404,577,5,3,8,19,34386,S471,Groceries,4612,0.83,0.8,3.7,46284,16981,11539,238,19,20,236.4871795,41,21,28520,38364.88842,-1827,2404,0,7.455767563,66884.88842
WH307(1),Chicago,1268,335,5,3,8,7,86852,S105,Electronics,4855,2.39,1.5,2.8,38167,2813,9918,64,15,22,220.6590909,43,21,12731,57677.96212,-933,1268,0,17.88918641,70408.96212
WH054(1),New York,1617,2120,4,4,8,17,53723,S156,Electronics,5359.304688,3.37,6.2,4.2,18257,18102,8880,74,41,31,142.2622951,47,16,26982,50740.57069,503,2120,9,10.02424813,77722.57069
WH118,Seattle,2936,1810,7,1,8,15,85788,S871,Electronics,2984,0.97,5.3,2.1,12727,1632,12062,260,41,56,53.28571429,26,-30,13694,29581.04489,-1126,2936,0,28.74932976,43275.04489
WH465(1),Houston,2470,1441,5,3,8,14,82802,S505,Groceries,4539,0.53,1.3,4.2,29356,10599,951,137,27,12,394.6956522,40,28,11550,54276.21608,-1029,2470,0,18.24234413,65826.21608
WH162,Chicago,2737,1503,5,3,8,17,72351,S256,Electronics,6939,4.45,4.1,2.5,42643,7212,8668,0,46,78,88.96153846,61,-17,15880,84751.88221,-1234,2737,0,10.42671855,100631.8822
WH444(2),New York,1107,878,5,3,8,24,98302,S501,Apparel,7776.914063,1.2,9.8,4.2,19745,19929,14181,205,6,26,153.5,69,43,34110,78673.61434,-229,1107,27,12.64023226,112783.6143
WH204,New York,4161,4769,2,6,8,25,64773,S364,Furniture,8185.203125,4.85,5.9,1.6,27050,4514,2645,98,46,50,150.1,72,22,7159,111545.7697,608,4769,6,7.913426095,118704.7697
WH312(2),Dallas,2404,576,5,3,8,20,61693,S488,Groceries,8125.382813,2.52,4.7,3.1,14077,12042,5816,271,9,19,169.5652174,72,53,17858,99979.23391,-1828,2404,31,7.592626886,117837.2339
WH136,Houston,2227,3193,5,2,7,22,71473,S899,Electronics,6530.304688,1.43,2.2,1.5,19817,8826,11062,194,29,7,787.1428571,58,51,19888,74816.8353,966,3193,9,10.94481857,94704.8353
WH492,San Francisco,1967,442,7,1,8,6,34205,S287,Furniture,5005,2.2,5.3,3.6,21377,3361,9361,75,39,7,715,44,37,12722,59862.31625,-1525,1967,0,6.834165834,72584.31625
WH012,Seattle,3842,4266,5,3,8,9,54664,S377,Electronics,7131.46875,2.96,4.5,3,24667,12490,11557,68,11,31,215.4193548,63,32,24047,79376.13348,424,4266,4,7.665181173,103423.1335
WH035(1),Chicago,1965,1594,5,3,8,7,93280,S287,Automotive,4816,2.72,4.3,3.4,43657,5616,14651,13,32,6,802.6666667,42,36,20267,49576.37004,-371,1965,0,19.36877076,69843.37004
WH017,Denver,4576,1341,2,6,8,6,52507,S696,Apparel,3262,4.28,2.4,2.4,38381,12369,11657,130,11,42,77.66666667,29,-13,24026,23280.70122,-3235,4576,0,16.09656652,47306.70122
WH440,Atlanta,2943,3759,4,4,8,17,84467,S858,Automotive,6397.9375,2.78,5.7,1.1,11290,7098,11675,88,17,61,90.01639344,56,-5,18773,74012.19857,816,3759,8,13.20222337,92785.19857
WH477,Atlanta,679,1890,7,1,8,22,49608,S684,Electronics,2606.039063,1,4.2,4.2,14825,15165,7572,248,3,71,19.14084507,23,-48,22737,15056.71898,1211,1890,11,19.03578527,37793.71898
WH131(1),Denver,1278,443,5,4,9,19,98956,S516,Furniture,4966,4.29,7.3,1.2,15965,16289,8362,221,0,7,709.3571429,44,37,24651,47367.72418,-835,1278,0,19.92670157,72018.72418
WH018,Atlanta,2437,1217,4,4,8,5,75859,S656,Furniture,4990,2.71,2.6,2.8,36928,10790,12841,224,24,18,277.2222222,44,26,23631,48735.78084,-1220,2437,0,15.20220441,72366.78084
WH305,New York,1969,1594,2,6,8,24,67751,S755,Apparel,1686,4.15,9.6,3,49519,6988,2877,46,27,68,24.79411765,15,-53,9865,14585.98046,-375,1969,0,40.18446026,24450.98046
WH046,Los Angeles,4545,2036,2,6,8,8,90308,S801,Apparel,7029,2.66,7.2,1.3,25207,5008,12688,231,45,98,71.7244898,62,-36,17696,84241.09469,-2509,4545,0,12.84791578,101937.0947
WH391,Miami,2671,2527,6,2,8,18,36034,S102,Automotive,1288,4.56,3.7,4.4,49979,12654,3570,25,20,51,25.25490196,11,-40,16224,2455.040825,-144,2671,0,27.97670807,18679.04083
WH141(1),Miami,330,2364,5,3,8,8,42631,S798,Furniture,8467.21875,3.78,3.4,3.1,46742,13170,3430,178,6,41,106.9634146,75,34,16600,106194.662,2034,2364,36,5.034829176,122794.662
WH088,Denver,4839,3605,4,4,8,12,87571,S967,Furniture,6480,2.59,9.7,3.7,11626,5702,3342,221,35,75,86.4,57,-18,9044,84931.29856,-1234,4839,0,13.51404321,93975.29856
WH222,Dallas,2049,2313,5,3,8,16,44699,S496,Automotive,5371.101563,1.79,5,4.5,47494,14434,14244,33,48,88,57.17045455,47,-41,28678,49215.65323,264,2313,3,8.322128986,77893.65323
WH465(2),Houston,2469,1440,5,3,8,8,71632,S281,Electronics,5332.570313,3.61,10,2.1,38342,17265,6921,93,9,11,15.92424242,47,36,24186,53148.85914,-1029,2469,7,13.4329218,77334.85914
WH434(1),Los Angeles,1864,1995,5,3,8,18,51895,S839,Automotive,4888.101563,2.84,4.7,4.8,43242,13126,13685,171,13,26,174.9038462,43,17,26811,44078.01292,131,1995,3,10.6165961,70889.01292
WH028,New York,2543,2562,7,1,8,9,56665,S996,Groceries,2054.367188,2.16,7.4,2.4,27228,4967,11925,54,38,45,43.13333333,18,-27,16892,12901.17435,19,2562,1,27.58270301,29793.17435
WH204(1),Seattle,911,268,5,3,8,23,78229,S966,Electronics,4414,1.3,7,1.2,12831,7219,3575,204,24,24,183.9166667,39,15,10794,53219.42097,-643,911,0,17.72292705,64013.42097
WH434(2),New York,1767,2280,4,3,7,24,40932,S759,Automotive,5556.203125,1.01,3.9,2.3,42128,2181,8725,122,3,13,64.52830189,49,36,10906,69672.06289,513,2280,6,7.366901296,80578.06289
WH204(2),Seattle,910,268,4,3,7,17,77723,S637,Furniture,7021.445313,2.9,2.4,2,30536,18584,14848,270,8,24,29.41489362,62,38,33432,68395.53389,-642,910,23,11.0693734,101827.5339
WH199(1),Miami,1775,1614,5,2,7,13,74353,S158,Electronics,4764,1.79,9.7,2.1,49867,1083,8062,188,4,28,170.125,42,14,9145,59944.24728,-161,1775,0,15.6072628,69089.24728
WH112(1),Chicago,1560,2348,4,3,7,21,56043,S669,Furniture,5627.140625,2.7,3.6,3.5,38594,2330,1930,91,47,13,310.7307692,50,37,4260,77346.82412,788,2348,14,9.959409891,81606.82412
WH071(1),San Francisco,2238,663,5,3,8,22,30531,S476,Groceries,3891,2.04,7.2,4.6,12303,9088,6130,241,32,31,127.5737705,34,3,15218,41210.68622,-1575,2238,0,7.846569005,56428.68622
WH090,Dallas,4959,1521,2,5,7,13,46931,S279,Apparel,7214,4.84,2.6,4.8,38363,1270,2087,189,41,41,175.9512195,64,23,3357,101263.0315,-3438,4959,0,6.505544774,104620.0315
WH280(1),San Francisco,1682,1610,5,2,7,9,72445,S396,Furniture,3904,1.67,0.7,4.6,11340,16014,5555,150,17,35,111.5428571,34,-1,21569,35048.21691,-72,1682,0,18.55660861,56617.21691
WH388,San Francisco,2202,2947,10,2,12,24,84686,S270,Apparel,6460.570313,1.78,8.7,4.4,48273,18885,13036,92,39,46,123.1956522,57,11,31921,61772.52222,745,2947,7,13.10813069,93693.52222
WH033(2),Seattle,310,1900,4,2,6,23,47857,S201,Apparel,4356.835938,2.63,8.7,1.2,49704,8597,676,283,36,16,37.55384615,38,22,9273,53911.4071,1590,1900,5,10.98434751,63184.4071
WH050,Seattle,4324,1831,3,4,7,17,43981,S921,Groceries,1393,1.13,7.1,1.7,46359,14236,13470,70,5,89,15.65168539,12,-77,27706,-7504.211281,-2493,4324,0,31.57286432,20201.78872
WH233(1),Denver,1817,1723,5,2,7,5,80642,S398,Furniture,4324,4.68,9.5,1.9,40696,5691,2231,278,3,17,262.030303,38,21,7922,54786.20849,-94,1817,0,18.64986124,62708.20849
WH205(1),San Francisco,2428,2278,4,3,7,13,44452,S450,Apparel,3925,3.16,1.4,4.6,29113,5476,3787,35,10,34,115.4411765,35,1,9263,47658.76649,-150,2428,0,11.32535032,56921.76649
WH054(1),Denver,281,1292,4,4,8,22,70573,S342,Groceries,6084.609375,0.89,3.9,3.6,10919,17110,3204,216,2,43,94.03488372,54,11,20314,67927.20103,1011,1292,18,11.59860817,88241.20103
WH258,Houston,1665,1457,2,5,7,13,56498,S669,Automotive,1525,1.18,4.4,3.1,30826,10751,14777,58,31,74,20.60810811,13,-61,25528,-3411.899644,-208,1665,0,37.04786885,22116.10036
WH071(2),San Francisco,2237,663,4,2,6,11,47922,S851,Electronics,3891,3.85,7.8,4.2,27494,19822,10759,236,35,30,12.06976744,34,4,30581,25847.68622,-1574,2237,0,12.31611411,56428.68622
WH194(2),Dallas,602,611,4,2,6,8,73889,S537,Furniture,7286.179688,2.96,2,3.8,33343,7383,6215,96,36,45,40.21666667,64,19,13598,92068.80733,9,611,25,10.14097966,105666.8073
WH458,Seattle,1930,1690,2,5,7,14,59326,S305,Apparel,4275,0.84,1,2.3,11992,10108,558,3,22,62,68.9516129,38,-24,10666,51331.5928,-240,1930,0,13.8774269,61997.5928
WH033(1),New York,1074,1503,4,3,7,18,78909,S779,Apparel,5796.9375,2.5,9.3,1.6,40292,17468,13194,267,22,44,111.1363636,51,7,30662,53407.27968,429,1503,8,13.61218747,84069.27968
WH434(2),Los Angeles,1864,1995,4,3,7,17,70261,S111,Groceries,7834.648438,3.15,6,3.3,38812,18418,12601,274,17,26,58.47058824,69,43,31019,82601.89908,131,1995,29,8.967983766,113620.8991
WH221,Chicago,4943,3956,4,3,7,15,93573,S697,Electronics,5874,0.77,1.7,4.3,11235,7855,14611,76,44,28,209.7857143,52,24,22466,62720.86786,-987,4943,0,15.93003064,85186.86786
WH491,Miami,4508,2131,5,2,7,11,72094,S232,Automotive,5076,1.8,2.6,4.6,10464,13887,5737,110,6,75,67.68,45,-30,19624,53989.98387,-2377,4508,0,14.20291568,73613.98387
WH347(1),Atlanta,642,2120,4,3,7,24,91504,S898,Groceries,7147.914063,0.75,5.2,2.4,14075,3025,12889,172,31,5,817.3,63,58,15914,87747.62934,1478,2120,27,12.80149694,103661.6293
WH233(2),Denver,1816,1723,5,2,7,7,85301,S387,Groceries,6476.976563,4.6,6,3.2,42089,19944,8555,164,37,16,22.91044776,57,41,28499,65432.45158,-93,1816,19,13.16987937,93931.45158
WH286(1),Denver,2276,1052,5,2,7,19,74330,S454,Apparel,3978,1.77,3.9,2.1,22787,4803,1858,143,41,49,81.17346939,35,-14,6661,51029.39162,-1224,2276,0,18.68526898,57690.39162
WH141(2),Miami,329,2363,5,2,7,11,91042,S381,Automotive,7786.015625,2.21,8.8,3.4,15155,9438,4296,47,27,41,18.62244898,69,28,13734,99181.60848,2034,2363,30,11.69301532,112915.6085
WH307(2),Chicago,1267,335,5,2,7,10,92424,S690,Automotive,6667.875,2.26,1.3,3.3,11336,16865,12202,79,14,22,57.08536585,59,37,29067,67632.92962,-932,1267,16,13.86108768,96699.92962
WH179,San Francisco,4703,3631,3,4,7,5,55573,S690,Groceries,5077,0.73,1.3,1.4,22122,7430,9719,15,34,51,99.54901961,45,-6,17149,56479.48624,-1072,4703,0,10.94603112,73628.48624
WH100,Atlanta,4348,3191,4,3,7,9,60499,S145,Electronics,6065,0.64,6.6,4.3,36544,3673,4952,181,50,85,71.35294118,53,-32,8625,79331.81879,-1157,4348,0,9.97510305,87956.81879
WH033(2),New York,1074,1503,4,3,7,12,37440,S414,Groceries,8291.015625,1.53,0.6,4.4,38198,8814,3819,171,23,44,45.56,73,29,12633,107606.3007,429,1503,30,4.515731449,120239.3007
WH068,Los Angeles,3513,3170,4,3,7,19,53542,S599,Electronics,7359,0.66,7.5,2.2,20332,4948,5074,273,43,92,79.98913043,65,-27,10022,96700.87378,-343,3513,0,7.275716809,106722.8738
WH041,New York,982,3984,2,5,7,24,58802,S388,Groceries,8736.914063,3.43,1.1,4.5,20994,19518,6490,148,43,79,71.84810127,77,-2,26008,100697.8808,3002,3984,27,6.730293966,126705.8808
WH033(1),Seattle,310,1901,5,3,8,25,99965,S261,Apparel,7077.648438,3.74,9.1,4.8,36935,18414,8482,299,30,17,229.6969697,62,45,26896,75746.61189,1591,1901,29,14.12404146,102642.6119
WH264(1),Atlanta,1904,1773,5,2,7,12,57378,S314,Electronics,3823,2.53,4.9,2.7,29822,2827,5546,47,28,32,121.3650794,34,2,8373,47069.52568,-131,1904,0,15.00863196,55442.52568
WH060,New York,969,1093,4,3,7,7,51567,S231,Furniture,2353.734375,3.59,5,3.1,26229,4565,2540,206,35,17,125.1176471,21,4,7105,27029.70534,124,1093,2,21.90858941,34134.70534
WH194(1),Dallas,602,611,5,3,8,19,43468,S735,Groceries,4565.367188,3.98,8.9,4.2,43074,6812,2324,244,3,45,98.93333333,40,-5,9136,57072.60255,9,611,1,9.521249489,66208.60255
WH489,Seattle,3853,1343,3,4,7,15,40856,S941,Apparel,5090,1.2,2,3.5,13948,8099,6692,112,45,12,424.1666667,45,33,14791,59026.01693,-2510,3853,0,8.026719057,73817.01693
WH119,Miami,1100,2919,3,1,4,16,79205,S795,Groceries,7662.242188,4.51,7.7,4.6,28489,5217,14484,147,36,74,77.5,68,-6,19701,91419.60142,1819,2919,17,10.33705253,111120.6014
WH344(1),Denver,493,237,3,4,7,5,96689,S532,Apparel,4908,1.21,4.9,3.6,43485,11804,3414,113,9,42,118.2650602,43,1,15218,55959.58724,-256,493,0,19.70028525,71177.58724
WH181,Denver,3264,2646,6,1,7,10,65921,S627,Apparel,3316,2.83,4,3.4,49628,19408,4478,177,29,93,35.65591398,29,-64,23886,24203.82871,-618,3264,0,19.87967431,48089.82871
WH128(1),Seattle,705,1059,4,3,7,25,68512,S984,Automotive,4753.570313,1,3,3.8,25647,13314,2177,16,10,17,239.969697,42,25,15491,53446.99218,354,1059,7,14.41274568,68937.99218
WH201,Los Angeles,4179,964,6,1,7,10,55053,S520,Groceries,4124,1.48,3.6,2,29722,9487,7488,253,0,45,91.64444444,36,-9,16975,42832.73631,-3215,4179,0,13.34941804,59807.73631
WH039,Chicago,4264,676,4,3,7,13,35183,S120,Groceries,5645,4.6,6.9,3.7,45076,18049,2828,117,11,80,70.5625,50,-30,20877,60988.82722,-3588,4264,0,6.232595217,81865.82722
WH404,Atlanta,1319,4559,3,6,9,13,74534,S305,Furniture,9150.648438,4.49,8.9,4.6,22844,3352,12320,226,22,52,112.75,81,29,15672,117034.006,3240,4559,29,8.145215119,132706.006
WH109,Miami,4011,4098,2,5,7,11,46152,S408,Automotive,5436.367188,2.97,6.4,2.2,18705,7073,13970,9,7,83,64.13253012,48,-35,21043,57797.15888,87,4098,1,8.489492782,78840.15888
WH034,San Francisco,2843,1770,2,5,7,20,87773,S849,Apparel,1507,1.05,7.5,4.3,28144,7977,1059,274,27,49,30.75510204,13,-36,9036,12819.05786,-1073,2843,0,58.24353019,21855.05786
WH054(2),New York,1617,2119,4,3,7,12,58194,S591,Apparel,5472.671875,4.91,5.1,1.4,47174,18838,1891,260,15,30,88.24242424,48,18,20729,58637.66256,502,2119,10,10.63356279,79366.66256
WH258(1),Miami,509,2031,3,4,7,7,62446,S154,Automotive,7025.914063,1.87,3.4,3,13932,7226,9521,222,47,36,110.125,62,26,16747,85145.34131,1522,2031,27,8.887953858,101892.3413
WH113,San Francisco,2373,1542,2,5,7,15,92064,S178,Electronics,4806,4.73,6.9,5,18600,5680,3070,163,48,91,52.81318681,42,-49,8750,60948.34643,-831,2373,0,19.15605493,69698.34643
WH054(2),Denver,281,1292,3,3,6,8,88426,S663,Groceries,4269.734375,3.79,1.5,4.9,48667,4070,9536,47,29,43,59.53246753,38,-5,13606,48315.22881,1011,1292,2,20.70995341,61921.22881
WH191(2),Seattle,424,2350,3,2,5,25,46847,S880,Electronics,7074.976563,4.3,3.9,2.1,36198,14052,1535,288,16,32,114.1794872,62,30,15587,87016.86339,1926,2350,19,6.621506034,102603.8634
WH199(2),Miami,1774,1614,5,1,6,16,33933,S821,Electronics,8730.851563,4.06,4.2,4.2,39619,19011,1904,296,30,28,34.01492537,77,49,20915,105702.9602,-160,1774,35,3.886562468,126617.9602
WH191(1),Seattle,424,2351,4,3,7,21,93258,S136,Groceries,8775.484375,2.21,5.2,4,11429,12498,5777,175,5,32,153.78125,77,45,18275,108990.2414,1927,2351,34,10.6271057,127265.2414
